#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
<div><div><div>{{c1::<b>McCune-Albright</b>}} <b>syndrome</b> is characterized by <i>unilateral </i><b>{{c2::café-au-lait}} spots</b>, <b>{{c3::precocious}} puberty</b>, and <b>{{c4::polyostotic fibrous}} dysplasia</b></div></div></div>	<div><i>Mc<b>C</b>un<b>E</b> <b>A</b>l<b>B</b>right</i></div><div><i><b>C</b> = Cafe au lait spots (with jagged edge - “Coast of Maine” border)</i></div><div><i><b>E </b>= Early puberty (as early as 2 years old)</i></div><div><i><b>AB</b> = Abnormal Bones (Fibrous Dysplasia - weak bones that are prone to fracture; bone is replaced by collagen and fibroblasts)</i></div>					"<img src=""tmp5SPRJp_1566160514431.png""><br/><img src=""tmpleGToH_1566160514431.png"">"	"<div><img src=""paste-20cb62dd82c7501268e87c115ab34554b706f887.jpg""><br></div>"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#FirstAid::15_Repro::03_Physiology::18_Precocious_Puberty #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^EXPN::BGedit #AK_Step1_v9::^FA_Updates::FA2018 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
<div><div>Which <u>Langerhans cell histiocytosis</u> presents as <b>scalp rash</b>, <b>lytic skull lesions</b>, <b>diabetes insipidus</b>, and <b>exophthalmos</b>?</div><div><br></div><div>{{c1::Hand-Schuller-Christian disease}}</div></div>	<div><u>Pathoma rules for Langerhans cell histiocytosis</u>:</div><div>1. If it involves names, it is malignant</div><div>2. Malignant proliferations involve the skin</div><div>3. If two people named, affects children &lt; 2 years old</div><div>4. If three people named, affects children &gt; 3 years old </div>	"<b>Exophthalmos</b> is a bulging of the <a href=""wmfapp://host/wiki/Human_eye"">eye</a> anteriorly out of the <a href=""wmfapp://host/wiki/Orbit_(anatomy)"">orbit</a>.&nbsp;"				"<img src=""tmpixegv2_1566160514431.png""><br/>"				"<b>Other:</b><br>
<img src=""tmpYAZhT6_1566160514431.png"">"	OB::CriticalCardDeck::Path
<div>What <u>dermatome</u> is found at the <b>posterior half of the skull</b>? </div><div><br /></div><div>{{c1::C2}}</div>	"<div>Posterior to ear the sensory is lesser occipital nerve (C2,C3); anterior to ear is auriculotemporal branch of V3</div><div><br /></div><div><img src=""paste-1478581146353665.jpg"" /></div>"					"<img src=""tmpjJgreB_1566160514431.png""><br/>"					"#AK_Step1_v9::#B&B::15_Neuro::01_Intro::05_Dermatomes_&_Reflexes #AK_Step1_v9::#FirstAid::12_Neuro_&_Special_Senses::02_Anatomy_&_Physiology::43_Landmark_dermatomes #AK_Step1_v9::#Physeo::03_Physiology::08_Neuro::15_Dermatomes,_Myotomes_&_Clinical_Reflexes #AK_Step1_v9::^EXPN::BGedit #AK_Step1_v9::^FA_Updates::FA2018 #AK_Step1_v9::Neuro::neurology #AK_Step1_v9::Neuro::neuroscience"
<div><div>What <u>dermatome</u> is found at the <b>high turtleneck shirt</b> level? </div><div><br /></div><div>{{c1::C3}}</div></div>	"<div>Trapezius Ridge is innervated by C3-C4</div><div><br /></div><div><img src=""paste-1478581146353665.jpg"" /></div>"					"<img src=""tmpjJgreB_1566160514431.png""><br/>"					"#AK_Step1_v9::#B&B::15_Neuro::01_Intro::05_Dermatomes_&_Reflexes #AK_Step1_v9::#FirstAid::12_Neuro_&_Special_Senses::02_Anatomy_&_Physiology::43_Landmark_dermatomes #AK_Step1_v9::#Physeo::03_Physiology::08_Neuro::15_Dermatomes,_Myotomes_&_Clinical_Reflexes #AK_Step1_v9::^EXPN::BGedit #AK_Step1_v9::^FA_Updates::FA2018 #AK_Step1_v9::Neuro::neurology #AK_Step1_v9::Neuro::neuroscience"
<div><div>What <u>dermatome</u> is found at the <b>low-collar shirt</b> level? </div><div><br /></div><div>{{c1::C4}}</div></div>	"Trapezius Ridge is innervated by C3-C4<div><br /><div><img src=""paste-1478581146353665.jpg"" /></div></div>"					"<img src=""tmpjJgreB_1566160514431.png""><br/>"					"#AK_Step1_v9::#B&B::15_Neuro::01_Intro::05_Dermatomes_&_Reflexes #AK_Step1_v9::#FirstAid::12_Neuro_&_Special_Senses::02_Anatomy_&_Physiology::43_Landmark_dermatomes #AK_Step1_v9::#Physeo::03_Physiology::08_Neuro::15_Dermatomes,_Myotomes_&_Clinical_Reflexes #AK_Step1_v9::^EXPN::BGedit #AK_Step1_v9::^FA_Updates::FA2018 #AK_Step1_v9::Neuro::neurology #AK_Step1_v9::Neuro::neuroscience"
<div><div>What <u>dermatome</u> is found at the <b>inguinal ligament</b>? </div><div><br /></div><div>{{c1::L1}}</div></div>	"<div><i>""<b>L1</b> is <b>IL</b> (Inguinal Ligament)""</i> </div><img src=""paste-1489563377729537.jpg"" />"					"<img src=""tmpjJgreB_1566160514431.png""><br/>"					"#AK_Step1_v9::#B&B::15_Neuro::01_Intro::05_Dermatomes_&_Reflexes #AK_Step1_v9::#FirstAid::12_Neuro_&_Special_Senses::02_Anatomy_&_Physiology::43_Landmark_dermatomes #AK_Step1_v9::#Physeo::03_Physiology::08_Neuro::15_Dermatomes,_Myotomes_&_Clinical_Reflexes #AK_Step1_v9::^EXPN::BGedit #AK_Step1_v9::^FA_Updates::FA2018 #AK_Step1_v9::Neuro::neurology #AK_Step1_v9::Neuro::neuroscience"
<div><b>Osteopetrosis</b> is due to <i>poor</i> <u>osteo-</u>{{c1::<u>clast</u>}} function, impairing the ability to <u>{{c2::remodel}}</u> bone</div><div><br /></div><div><br /></div>	"- Can be due to mutations in Carbonic Anhydrase II (required for production of H+ for the resorption pit)<div><br /></div><div>- bone remodeling strengthens and repairs bone through the removal of old bone by osteoclasts and replacement with new bone by osteoblasts<br /><div><br /></div><div><img src=""paste-39247411150849.jpg"" /></div></div>"					"<img src=""tmp189Qqw_1566160514431.png""><br/>"	"<div><br><div><br></div><div><img src=""paste-656941017728860.jpg""></div></div><img src=""tmpyC6wzu_1566160514431-f9a0c0ffd11e61bce4e7b2907314c94a32b15fb7.png"">"				"#AK_Step1_v7::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::10_Osteopetrosis #AK_Step1_v7::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v7::#Physeo::03_Physiology::09_MSK::03_Osteoblasts_&_Osceoclasts #AK_Step1_v7::#SketchyPath::12_MSK_&_Derm::01_Bone::05_Congenital_Bone_Disorders:_Osteogenesis_Imperfecta,_Achondroplasia_&_Osteopetrosis #AK_Step1_v7::^EXPN::BGedit #AK_Step1_v7::^EXPN::Uworld #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::10_Osteopetrosis #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::03_Physiology::09_MSK::03_Osteoblasts_&_Osceoclasts #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::05_Congenital_Bone_Disorders:_Osteogenesis_Imperfecta,_Achondroplasia_&_Osteopetrosis #AK_Step1_v9::^EXPN::BGedit #AK_Step1_v9::^EXPN::Uworld #AK_Step1_v9::Musculoskeletal::Pathology"
<div><b>{{c2::Osteopetrosis}}</b> may occur due to <b>{{c1::<i>carbonic anhydrase II</i>}}</b> mutations, which leads to <u>loss</u> of the <b>acidic</b> <b>environment</b> necessary for <b>bone</b> <b>resorption</b> </div>	<i>acidic environment is necessary to remove Ca<sup>2+</sup> from bone</i> 					"<img src=""tmp189Qqw_1566160514431.png""><br/>"	"<br><img src=""tmpyC6wzu_1566160514431-f9a0c0ffd11e61bce4e7b2907314c94a32b15fb7.png"">"				"#AK_Step1_v7::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::10_Osteopetrosis #AK_Step1_v7::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v7::#SketchyPath::12_MSK_&_Derm::01_Bone::05_Congenital_Bone_Disorders:_Osteogenesis_Imperfecta,_Achondroplasia_&_Osteopetrosis #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::10_Osteopetrosis #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::05_Congenital_Bone_Disorders:_Osteogenesis_Imperfecta,_Achondroplasia_&_Osteopetrosis #AK_Step1_v9::Musculoskeletal::Pathology"
<div><b>Osteopetrosis</b> may present with <u>vision</u> and <u>hearing</u> impairment due to <b>{{c1::cranial nerve}} impingement</b> </div><div><br></div><div><b><br></b></div>		Sclerosis of foramen can compress cranial nerves				"<img src=""tmp189Qqw_1566160514431.png""><br/>"	"<img src=""paste-658165083408220.jpg"" /><br/><img src=""tmpyC6wzu_1566160514431-f9a0c0ffd11e61bce4e7b2907314c94a32b15fb7.png"">"				"#AK_Step1_v7::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::10_Osteopetrosis #AK_Step1_v7::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v7::#SketchyPath::12_MSK_&_Derm::01_Bone::05_Congenital_Bone_Disorders:_Osteogenesis_Imperfecta,_Achondroplasia_&_Osteopetrosis #AK_Step1_v7::Musculoskeletal::Pathology #AK_Step1_v9::#B&B::14_MSK::03_Pathology::01_Bone_Disorders #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::10_Osteopetrosis #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::05_Congenital_Bone_Disorders:_Osteogenesis_Imperfecta,_Achondroplasia_&_Osteopetrosis #AK_Step1_v9::Musculoskeletal::Pathology"
<div><div><b>{{c2::Paget disease of bone}}</b> is the most common cause of <u>isolated</u> <i>elevated</i> <b>{{c1::alkaline phosphatase}}</b> in patients &gt; 40 years old</div><div><br /></div><div><b><br /></b></div></div>						"<img src=""tmpebaH3l_1566160514431.png""><br/>"	"<img src=""paste-83154861819750.jpg"" /><br/><img src=""tmpfaydQM_1566160514431-48204d4a9eb42f796ea26750b7c7789ba0cda674.png"">"			"<b>Atlas:</b><br>
<img src=""tmplxJb3v_1566160514431.png""><br/><img src=""tmpTx11qJ_1566160514431.png""><br/>"	"#AK_Step1_v9::#AMBOSS::Musculoskeletal #AK_Step1_v9::#FirstAid::04_Pathology::03_Neoplasia::12_Serum_tumor_markers #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::02_Pathology::12_Osteitis_deformans #AK_Step1_v9::#Pathoma::18_MSK::01_Skeletal_System #AK_Step1_v9::#Physeo::03_Physiology::09_MSK::03_Osteoblasts_&_Osceoclasts #AK_Step1_v9::#Physeo::11_Pathology::04_Musculoskeletal_Pathology::01_Bone_Disorders #AK_Step1_v9::#SketchyPath::12_MSK_&_Derm::01_Bone::01_Osteoporosis_&_Paget_Disease_of_Bone #AK_Step1_v9::Musculoskeletal::Pathology"
