question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis1,metadata.diagnosis2,metadata.procedure,metadata.procedure2,metadata.procedure3,,
What view must always be obtained when evaluating a patient with a shoulder dislocation?,Axillary,"Anterior or posterior shoulder dislocations may not be evident in AP view. If patient is unable to abduct his/her arm, try Velpeau view modification (see 2nd picture below).",shoulderelbow,,shoulder,,shoulder_dislocation,,,,,,
"For a patient with a shoulder dislocation if an axillary view is not tolerated, what alternating view may be obtained?",Velpeau,,shoulderelbow,,shoulder,,shoulder_dislocation,,,,,,
What radiographic finding on AP view is suggestive of a posterior shoulder dislocation?,Light bulb sign,"""Normal is on bottom left of 1st picture. See """"half moon"""" sign from overlap between humeral head and glenoid fossa of the scapula. With posterior shoulder dislocation, light bulb sign occurs because of internal rotation of the humeral head upon posterior dislocation.""",shoulderelbow,,shoulder,,shoulder_dislocation,,,,,,
What view is a true AP of the glenohumeral joint?,Grashey,"""This is considered a """"true AP"""" view since the view is AP to the scapula instead of AP to the patient. The view is obtained with the patient rotated 35-45 degrees and his/her scapular body up against the imaging detector.   Grashey = Glenohumeral""",shoulderelbow,,shoulder,glenohumeral joint,,,,,,,
The acromioclavicular (AC) joint is best visualized on what view?,Zanca,zAnCa view for Acromio-Clavicular joint.,shoulderelbow,,shoulder,ac joint,,,,,,,
The sternoclavicular (SC) joint is best visualized on what view?,Serendipity,"SC dislocations are rare. Anterior occurs more often than posterior. Complications include pneumothorax, SVC laceration, subclavian artery/vein occlusion, or tracheal rupture. CT scan will establish the diagnosis.",shoulderelbow,,hip,sc joint,,,,,,,
A Hill-Sachs lesion is best visualized on what view?,Stryker Notch,Hill-Sachs occurs during anterior dislocation when the anterior rim of the glenoid causes a depression in the posterolateral head of humerus. Stryker Notch view allows for easy visualization of the cortical depression.,sports,,shoulder,proximal humerus,hill_sachs_lesion,,,,,,
A Bankart Lesion is best visualized on what view?,West Point,Occurs during anterior shoulder dislocation when the humeral head tears away part of the labrum (and possibly a bony fragment with it).,sports,,shoulder,glenoid,bankart_lesion,,,,,,
What x-ray should be obtained to better evaluate intraarticular distal humerus fractures?,Traction view,Traction helps remove the bone overlap.,trauma,,shoulder,distal humerus,distal_humerus_fx,,,,,,
What radiographic finding suggests an occult fracture of the elbow?,Posterior fat pad sign,"In adults, look for radial head fracture. In children, look for supracondylar fracture.",shoulderelbow,,elbow,,elbow_fx,,,,,,
Does an anterior fat pad sign suggest an occult fracture of the elbow?,Not necessarily,This can be a normal finding if the elbow is flexed. Below is a normal x-ray with an anterior fat pad sign.,shoulderelbow,,elbow,,elbow_fx,,,,,,
What radiographic finding indicates a capitellum fracture that extends to the trochlea?,Double-Arc Sign,This fracture typically occurs during FOOSH (fall on outstretched hand) when the radius imparts a shearing force on the capitellum. Double-arc sign is created from subchondral bone of capitellum and lateral part of the trochlea.,trauma,shoulderelbow,elbow,,elbow_fx,,,,,,
What view of the wrist evaluates dorsal screw lengths following ORIF of the distal radius?,Skyline,"Following ORIF w/ use of volar locking plate, there is a concern for protrusion of the screw tips past the dorsal cortex. C and D in the second picture are an example of this view.",hand,,wrist,distal radius,,,distal_radius_ORIF,,,,
How do you obtain a scaphoid view?,PA x-ray with maximal ulnar deviation,,hand,,wrist,scaphoid,,,,,,,
What are Gilula's arcs on hand x-ray?,"First arc: Proximal convexity of the scaphoid, lunate, and triquetrum Second arc: Distal concavity of the scaphoid, lunate, and triquetrum Third arc: Proximal convexity of the capitate and hamate",,hand,,hand,,,,,,,,
What are the 6 radiographic lines of the pelvis?,1) Iliopubic line 2) Ilioischial line 3) Acetabular roof 4) Anterior border 5) Posterior border 6) Tear drop - Medial acetabular wall,,trauma,,pelvis,,,,,,,,
What 3 radiographic views should be obtained to evaluate the pelvic ring?,"AP pelvis, Inlet, Outlet",Xrays below are as follows: 1st - AP 2nd  - Inlet 3rd - Outlet,trauma,,pelvis,,,,,,,,
What 3 elements make a perfect AP pelvis radiograph?,1) Symmetric obturator foramen 2) Midline spinous processes 3) Coccyx is 2 cm superior to pubic ramus,,trauma,,pelvis,,,,,,,,
What makes a perfect inlet pelvic radiograph?,S1 overlying S2,,trauma,,pelvis,,,,,,,,
What makes a perfect outlet pelvic radiograph?,Pubic ramus overlying S2,,trauma,,pelvis,,,,,,,,
The inlet view of the pelvis evaluated for displacement in which 2 planes?,AP & Rotation,Ideal for visualizing -Anterior or posterior translation of the hemipelvis -Internal or external rotation of the hemipelvis -Widening of the SI joint -Sacral ala impaction,trauma,,pelvis,,,,,,,,
The outlet view of the pelvis evaluated for displacement in which 2 planes?,Superior-Inferior Flexion-Extension,Ideal for visualizing -Vertical translation of hemipelvis -Flexion/extension of hemipelvis -Disruption of sacral foramina and location of sacral fractures,trauma,,pelvis,,,,,,,,
What series of radiographs should be obtained to evaluate the acetabulum?,Judet views - Obturator oblique and Iliac oblique,Obturator oblique view of the right hip is on the same radiograph as an iliac oblique view of the left hip. The only difference is which side is being evaluated.,trauma,,pelvis,acetabulum,,,,,,,
The iliac oblique view evaluates which structures?,Anterior wall Posterior column,"Remember: IOWA (Iliac oblique - wall anterior). Then, just fill in the rest.",trauma,,pelvis,,,,,,,,
The obturator oblique view evaluates which structures?,Posterior wall Anterior column,,trauma,,pelvis,acetabulum,,,,,,,
What is Shenton's line?,Congruent line from the medial femoral neck extending to the suprior portion of the obturator foramen,Interruption of the Shenton line can indicate: -Developmental dysplasia of the hip (DDH) -Fractured neck of femur   See below Shenton's line in adults (1st XR) and children (2nd XR),recon,,hip,,,,,,,,
"""What is the """"spur sign""""?","Radiographic finding seen on the obturator oblique view that is pathognomonic for a both column acetabular fracture""","""The """"spur"""" is the edge of the intact ileum""",trauma,,pelvis,acetabulum,,,,,,,
