question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What is the anatomic pathway of the ilioinguinal nerve?,Pierces the obliquus internus and then accompanies the spermatic cord or round ligament through the superficial inguinal ring,,sports,global,,,,sports,inguinal region,inguinal region,,
What is the internervous plane for the posterolateral approach to the Tibial Shaft?,Tibial and Superficial peroneal nerves,,trauma,leg,,,,trauma,lower leg,lower leg,,
"During a TKA using a standard medial parapatellar approach, if a lateral parapatellar release is required, special attention should be made to preserve what artery?",Superior lateral genicular artery,High risk of patella AVN if damaged as it is likely only blood supply left to patella,recon,knee,,,total knee arthroplasty,recon,knee,,,
The inferior and superior gluteal nerves are designated as such based on their relationship to what structure?,Piriformis,,spine,pelvis,,,,spine,pelvis,,,
"When performing an aspiration or intra-articular injection in the knee, how should the needle + knee be placed?",Lateral to the patella with knee in extension,,sports,knee,,,,sports,knee,,,
Which of the following structures is the genitofemoral nerve?,3,Label 1: Lumbar segmental vessels Label 2: Sympathetic chain Label 4: Psoas muscle Label 5: Left renal vein,hand,lumbar spine,,,,hand,inguinal region,inguinal region,,
Apert syndrome is an autosomal dominant::Inheritance?,condition that gives rise to facial dysmorphism and complex syndactyly of the hands.,Associated with FGFR2 mutation  The craniosynostosis that develops causes flattening of the skull and facial features.,hand,hip,,,,hand,hands,hands,,
"A patient has a history of spinal cord injury and presents with an upper extremity neuropathic arthropathy, what should you have a high index of suspicion for?",What tests should you order?  Syrinx - Get Cervical Spine MRI,,shoulderelbow,cervical spine,,,,shoulderelbow,cervical spine,,,
"What is the treatment of choice for patients with non-syndromic radial longitunidal deficiency (RLD), a viable thumb, and good active elbow flexion?",Ulna centralization and tendon transfers to re-establish balance across the wrist,The goal of centralizing the carpus on the ulna is to improve reach and to stabilize tendons and muscle balance across the wrist.,hand,forearm,,,,hand,forearm,,,
What is the treatment of choice for a partial flexor tendon laceration involving < 60% of the width of the tendon?,Trim the frayed tendon edges and begin early range of motion,,hand,hand,,,,hand,hand,,,
What is the advantage of surgical excision with joint debridement as opposed to aspiration for treatment of a mucous cyst?,Decreased recurrence rate,,hand,hand,,,,hand,hand,,,debridement
What are the favorable prognostic factors for peripheral nerve injury?,(3)  Younger Age Distal level of injury Sharp transections and stretch injuries,,hand,forearm,,,,hand,distal forearm,distal forearm,,
What are the Negative prognostic factors for peripheral nerve injury?,(4)  Older Age Proximal level of injury Crush injuries Delay of Repair,,hand,hand,,,,hand,proximal level of injury,proximal level of injury,,
A young pitcher develops an Olecranon stress fracture. How should this be treated?,Refractory tx?  Rest from activity; ORIF with compression screw if it does not go onto union,,sports,elbow,,,orif,sports,elbow,,,
What are the indications for operative intervention in congenital radioulnar synostosis?,"Absolute: Deformity is limiting ability to participate in specific activities (sports, hygiene, eating) Relative: Severe pronation deformity > 60°, Bilateral deformities",,hand,forearm,,,,hand,forearm,,,
"What is Creep, as it relates to material properties?",Progressive deformation response to constant force over an extended period of time,,recon,global,,,,recon,soft tissue,soft tissue,,
What property of titanium alloys accounts for their high corrosion resistance in vivo?,"Self-passivation, forms a layer of oxide coating","In both room temperature air and physiologic fluids, titanium alloys self-passivate or spontaneously form a layer of titanium oxide very rapidly. This layer makes titanium alloys resistant to surface breakdown.",recon,global,,,,recon,implant materials,implant materials,,
What is this cell?,Osteoclast - Remodeling Cortical Bone through a Cutting Cone Mechanism,,recon,global,,,,recon,bone - remodeling,bone - remodeling,,
What is the Vancouver classification and management for the fracture below?,"Vancouver B1 (Stable stem, Good bone stock) - ORIF   ::",Vancouver B1 Fracture,recon,hip,proximal femur,,orif,recon,proximal femur,proximal femur,,
Is Lamellar or Woven bone stress-oriented?,Lamellar,"woven is immature or pathologic bone, random and not stress oriented lamellar is secondary bone created by remodeling woven bone",sports,global,,,,sports,long bones,long bones,,
How are free radicals removed from highly cross-linked polyethylene?,Thermal Processing,,recon,global,,,,recon,sterilization,sterilization,,
What are the pre-operative risk factors for nerve injury during primary THA?,DDH  Limb-lengthening  Post-traumatic arthritis  Posterior approach  Use of a cementless femoral implant,,recon,hip,,,,recon,hip,,,
"A 62-year-old woman presents with the following fracture. Assuming the components are well-fixed, what’s the best treatment?",ORIF with a Distal Femoral Locking Plate::,Su Type III Fracture,trauma,knee,distal femur,,orif,trauma,distal femur,distal femur,,
What is the most common reason for reoperation following hip resurfacing in the first 6 months following the operation?,Fracture of the femoral neck,,recon,hip,,,,recon,femoral neck,femoral neck,,
What is the most common cause of recurrent dislocation following total hip arthroplasty?,Component malposition,,recon,hip,,,total hip arthroplasty,recon,hip,,,
What is the function of the Deep Deltoid Ligament of the ankle?,Primary restraint to anterolateral talar displacement,,footankle,ankle,,,,footankle,ankle,,,
How does the Fibula contribute to the Stability of the ankle Mortise?,Acts as Buttress to prevent Lateral displacement of Talus,,footankle,ankle,,,,footankle,ankle joint,ankle joint,,
What is the name of this sign and what is it pathognomonic for?,Misty Mountains Sign - Posterior Mal Fx,,spine,spine,,,,spine,spine,,,
What is the name of this sign and what is it pathognomonic for?,Double Contour Sign - Posterior Mal Fx,,shoulderelbow,knee,,,,shoulderelbow,knee,,,
What is the Talocrural angle?,Measured by the bisection of a line through the tibial anatomical axis and another line through the tips of the malleoli,Shortening of Lateral malleoli fractures can lead to INCREASED talocrural angle      Talocrural angle is NOT 100% reliable for estimating restoration of fibular length  Can also utilize the realignment of the medial fibular prominence with the tibiotalar joint,footankle,ankle,,,,footankle,ankle,,,
What are the 2 traditional indications for treating Posterior Malleolar ankle fractures WITHOUT fixation?,Posterior malleolar fracture with < 25% joint involvement or < 2mm step-off,Short-leg walking cast/boot  Posterior mal fx:,footankle,ankle,,,,footankle,ankle,,,
What is the most important factor for obtaining a satisfactory outcome following ORIF of an ankle fracture?,Anatomic Reduction,,footankle,ankle,,,orif,footankle,ankle,,,
What percentage decrease in Tibiotalar contact area is noted with a 1 mm shift of the talus after ankle fracture?,42% decrease in Tibiotalar contact area,,trauma,ankle,,,,trauma,ankle,,,
Restoration of which aspect of Supination-Adduction (SAD) ankle fractures is critical for optimal outcomes?,Restoration of Marginal Impaction of the Anteromedial Tibial Plafond,(Seen as vertical shear fracture of the medial mal),footankle,ankle,,,,footankle,ankle,,,
What is the overall success rate of ankle fracture fixation?,90%,Prolonged recovery expected (2 years to obtain final functional result),footankle,ankle,,,,footankle,ankle,,,
What are 4 factors associated with worse outcomes after ankle fractures?,Smoking Decreased level of education Alcohol use Presence of Medial Malleolar fracture,,footankle,ankle,,,,footankle,ankle,,,
What is the indication to use an Antiglide plate with a Lag Screw for a Medial Malleolus fracture?,Vertical Shear Fx,,footankle,ankle,,,,footankle,ankle,,,scr
What technique is biomechanically superior for screw fixation of transverse medial malleolus fractures?,Lag by technique using 3.5 fully-threaded screw,Compared to lag by design using 4.0 partially-threaded screws,footankle,ankle,,,,footankle,ankle,,,scr
What is the internervous plane of the surgical approach used for ORIF of the majority of posterior malleolus fractures?,Posterolateral approach - between FHL and the Peroneals,Tibial n. and SPN  VuMedi: Posterolateral Approach for Trimalleolar Ankle Fracture,footankle,ankle,,,orif,footankle,ankle,,,
What is the main identifying fracture pattern in a hyperplantarflexion variant ankle fracture?,Vertical Shear fracture of the Posteromedial Tibial Rim,,footankle,ankle,,,,footankle,ankle,,,
What percentage of tibial shaft fractures have an associated ankle injury?,Up to 25% (highest rate with distal 1/3 spiral::Pattern? fractures),,trauma,ankle,,,,trauma,lower leg,lower leg,,
Where should the syndesmosis reduction clamp be placed to most accurately restore the ankle syndesmosis?,Midmedial tibial ridge and the lateral fibular ridge at the level of the syndesmosis (1-2 cm proximal to mortise),Will achieve the most reliable anatomic reduction,footankle,ankle,,,,footankle,ankle,,,
What are 4 surgical techniques to enhance fixation for the management of an ankle fracture in a diabetic patient?,"Multiple Quadricortical Syndesmotic screws (even in the absence of syndesmotic injury)  Tibiotalar Steinmann pins or hindfoot nailing  Augment with intramedullary fibula K-wires  Stiffer, more rigid fibular plates (instead of 1/3 tubular plates) compression plates, small fragment locking plates",Will achieve the most reliable anatomic reduction,footankle,ankle,,,,footankle,ankle,,,scr
How should post-operative weight-bearing protocol differ in patients with diabetes who have undergone ORIF for ankle fx?,Delay weightbearing; Maintain non-weightbearing postop for 8-12 weeks (instead of 4-8 weeks in normal patients),,footankle,ankle,,,orif,footankle,ankle,,,
What is the single biggest risk factor for the development of post-operative wound infection in a diabetic patient following ORIF of an Ankle Fx?,Presence of peripheral neuropathy,Post-operative wound infection up to 20% in diabetic patients,footankle,ankle,,,orif,footankle,ankle,,,
What are the 2 most critical components to correct with an osteotomy in the treatment of an ankle fracture malunion?,Obtaining anatomic fibular length Mortise correction,,footankle,ankle,,,,footankle,ankle,,,osteotomy
What % of patients with Pelvic Ring Fractures have associated…     Chest injuries?,Up to 63%  Long bone fractures? 50%  Spine fractures? 25%,,trauma,pelvis,,,,trauma,pelvis,,,
What % of patients with Pelvic Ring Fractures have associated…    Sexual dysfunction?,up to 50%  Head and Abdominal injury? 40%,,trauma,pelvis,,,,trauma,pelvic region,pelvic region,,
"In order for displacement of a pelvic ring injury to occur, a minimum of how many points of disruption must be present?",Disruption of the ring in two places,,trauma,pelvis,,,,trauma,pelvic region,pelvic region,,
What pelvic ring injury pattern has the highest rate of hypovolemic shock?,"Vertical Shear - 63% rate of hypovolemic shock, 25% mortality rate",,trauma,pelvis,,,,trauma,pelvic ring,pelvic ring,,
"""What are Single-leg stance AP pelvis (""""flamingo views"""") used to evaluate for?","Used in evaluation of suspected chronic pelvic ring instability""",Patient alternates with right and left foot up while AP pelvis is obtained,trauma,pelvis,,,,trauma,pelvis,,,
What can prolonged use of a pelvic binder cause?,Skin necrosis - d/t Prolonged Pressure from binder or sheet,,trauma,pelvis,,,,trauma,pelvis,,,
What nerve is at risk with the placement of an AIIS pin during external fixation of a Pelvic Ring Fx?,Lateral femoral cutaneous nerve,Single pin in column of supracetabular bone from AIIS towards PSIS,trauma,pelvis,,,external fixation,trauma,pelvis,,,
What bony landmark should you aim towards when placing an AIIS pin?,Single pin in column of supracetabular bone from AIIS towards PSIS,Risk damage to LCFN,,pelvis,,,,hip,ilium,ilium,,
