question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
What are osteoblasts derived from?,Undifferentiated mesenchymal stem cells,,basicscience,,non-anatomic,,,,,,,
What is the transcription factor that directs osteoblast differentiation?,RUNX2,,basicscience,,non-anatomic,,,,,,,
What do osteoblasts produce?,"Osteoblasts produce type 1 collagen, alkaline phosphatase, osteocalcin, bone sialoprotein, and RANKL.",,basicscience,,non-anatomic,,,,,,,
What do osteocytes derive from?,Osteoblasts,,basicscience,,non-anatomic,,,,,,,
What cell constitutes 90% of the mature skeleton?,osteocytes,,basicscience,,non-anatomic,,,,,,,
What do osteocytes control?,extracellular matrix calcium and phosphorus concentration,,basicscience,,non-anatomic,,,,,,,
What are osteoclasts derived from?,hematopoietic cells in the macrophage lineage,,basicscience,,non-anatomic,,,,,,,
How is bone resorption increased?,"Osteoblasts produce RANKL, which binds to immature osteoclasts and stimulates their differentiation to active, mature osteoclasts",,basicscience,,non-anatomic,,,,,,,
How is bone resorption inhibited?,Osteoprotegrin binds and inactivates RANKL,,basicscience,,non-anatomic,,,,,,,
Osteoclasts bind to bone surfaces via what receptor?,Vitronectin receptor (an integrin),,basicscience,,non-anatomic,,,,,,,
Osteoclasts remove bone matrix via what mechanism and enzyme?,"Proteolytic digestion, cathepsin K (lysosomal enzyme)",,basicscience,,non-anatomic,,,,,,,
What is bisphosphonates mechanism of action?,Inhibition of farnesyl pyrophosphate synthase in the mevalonate pathway,,basicscience,,non-anatomic,,,,,,,
Bisphosphonate side effects (2)?,"Osteonecrosis of the jaw, reduced rate of spinal fusion",,basicscience,,non-anatomic,,,,,,,
What constitutes the majority of inorganic bone matrix?,Calcium hydroxyapatite,,basicscience,,non-anatomic,,,,,,,
What constitutes the majority of organic bone matrix?,Type 1 collagen,,basicscience,,non-anatomic,,,,,,,
What is the most abundant non-collagenous protein in bone?,Osteocalcin,,basicscience,,non-anatomic,,,,,,,
What is Wolff's law in orthopaedics?,Wolff's law states that bone remodeling occurs in response to mechanical stress.,,basicscience,,non-anatomic,,,,,,,
