What are osteoblasts derived from?	Undifferentiated mesenchymal stem cells	
Transcription factor that directs osteoblast differentiation	RUNX2	
What do osteoblasts produce (5)	type 1 collagen, alkaline phosphatase, osteocalcin, bone sialoprotein, RANKL	
What do osteocytes derive from	osteoblasts	
What cell constitutes 90% of the mature skeleton?	osteocytes	
What do osteocytes control?	extracellular matrix calcium and phosphorus concentration	
What are osteoclasts derived from?	hematopoietic cells in the macrophage lineage	
How is bone resorption increased?	Osteoblasts produce RANKL, which binds to immature osteoclasts and stimulates their differentiation to active, mature osteoclasts	
How is bone resorption inhibited?	Osteoprotegrin binds and inactivates RANKL	
Osteoclasts bind to bone surfaces via what receptor?	Vitronectin receptor (an integrin)	
Osteoclasts remove bone matrix via what mechanism and enzyme?	Proteolytic digestion, cathepsin K (lysosomal enzyme)	
What is bisphosphonates mechanism of action?	Inhibition of farnesyl pyrophosphate synthase in the mevalonate pathway	
Bisphosphonate side effects (2)?	Osteonecrosis of the jaw, reduced rate of spinal fusion	
What constitutes the majority of inorganic bone matrix?	Calcium hydroxyapatite	
What constitutes the majority of organic bone matrix?	Type 1 collagen	
What is the most abundant non-collagenous protein in bone?	Osteocalcin	
Define Wolff's law.	Remodeling occurs in response to mechanical stress.	
Define Hueter-Volkmann law.	Compressive forces inhibit growth, whereas tenssion stimulates it.	
Define enchondral bone formation.	Bone replaces a cartilage model	
Define intramembranous bone formation.	Bone formation without a cartilage model: undifferentiated MSCs differentiate into osteoblasts, which form bone	
Define appositional bone formation.	Osteoblasts lay down new bone on existing bone; the groove of Ranvier supplies chondrocytes	
What are the 3 stages of fracture repair?	Inflammation, repair, and remodeling	
What type of bone healing occurs with closed treatment of fractures?	Periosteal bridging callus and interfragmentary enchondral ossification.	
What type of bone healing occurs with compression plating?	Primary cortical healing.	
BMP-2 is used for?	Acute open tibia fractures	
BMP-7 is used for?	Tibial nonunions	
BMP with no osteogenic activity?	BMP-3	
Increased BMP-4 is associated with which pathologic condition?	Fibrodysplasia ossificans progressiva	
NSAIDs may adversely inhibit fracture healing via what mechanism?	COX-2 inhibition which is required for enchondral ossification	
What 3 properties do bone grafts have?	Osteoconduction, osteoinduction, and osteogenesis	
Define osteoconduction.	Scaffolding for bone growth.	
Define osteoinduction.	Growth factors which stimulate bone formation.	
Define osteogenesis.	laying down of new bone (MSCs-->osteoblasts-->osteocytes)	
What 2 capabilities do calcium phosphate-based grafts have?	Osteoconduction and osseointegration	
Which graft material has the highest compressive strength?	calcium phosphate	
Calcium sulfate grafts have what capability?	Osteoconduction	
What are the primary homeostatic regulators of serum calcium?	PTH, and 1,25(OH)2-vitamin D3	
What does increased PTH result in?	increased serum Ca2+ and decreased inorganic phosphate	
At what age range does bone mass peak?	16-25	
Physiologic bone loss affects what type of bone most?	trabecular more than cortical	
What urinary chemical cross-links are elevated when there is bone resorption (2)?	hydroxyproline and pyridinoline	
What serum enzyme increases when bone formation increases?	alkaline phosphatase	
What is the most common cause of hypercalcemia?	malignancy	
What is the initial treatment of hypercalcemia?	saline diuresis along with loop diuretics	
What are the 2 most common causes of renal osteodystrophy?	Phosphrous retention and secondary hyperparathyroidism	
Rickets and osteomalacia are caused by?	failure of mineralization.	
What occurs at the growth plate in rickets?	The width of the zone of provisional calcifcation is increased which causes physeal widening and cupping.	
What defines osteoporosis?	Lumbar bone density of 2.5 standard deviations less than the peak bone mass of a healthy 25 year old (T-score)	
What can you prescribe to treat osteoporosis?	Calcium supplements of 100 to 1500 mg/day and bisphosphonates	
What causes scurvy?	ascorbic acid deficiency	
What biochemical process occurs in scurvy?	Ascorbic acid deficiency causes decrease in chondoitin sulfate synthesis which leads to defective collagen growth and repair.	
What occurs at the growth plate in scurvy?	Widening of the zone of provisional calcification.	
Osteogenesis imperfecta is caused by a mutation in genes involved in what?	Metabolism and synthesis of type 1 collagen.	
What are the components of articular cartilage (4)?	Water, type II collagen, proteoglycans, chondrocytes	
Type II collagen contains what major chemical?	Hydroxyproline	
Type II collagen provides what mechanical property?	Tensile strength.	
Proteoglycans are composed of what? And what are the major 2?	Glycosaminoglycans; chondroitin sulfate, keratine sulfate	
Proteoglycans provide what mechanical properties (2)?	Compressive and elastic strength	
"What transcription factor is the ""master switch"" for differentiation of MSCs to chondrocytes?"	SOX-9 transcriptional factor	
Define mechanotransduction.	how metabolism is regulated by mechanical stimulation.	
What enzyme destroys cartilage matrix and what is it produced by?	Metalloproteinases; chondrocytes	
How does aging negatively impact cartilage?	Lack of anabolic response	
What causes osteoarthritis from a cellular standpoint?	Chondrocytes react to cytokines and produce enzymes which degrade matrix.	
What is increased increased in osteoarthritis (2)?	water content, proteglycan degradation	
What components of cartilage are decreased in osteoarthritis (2)?	proteoglycan content, keratin sulfate concentration	
What do Type A synovial cells act like?	Macrophages	
What do type B synovial cells do?	Make the synovial ultrafiltrate fluid, known as boundary lubicant. (contains lubricin)	
What causes Charcot arthropathy?	disturbed sensory innervation (an extreme form of non-inflammatory arthritis characterized by radiographic findings worse than clinical complaints and fragments of bone in soft tissue)	
What is the most common cause of Charcot disease in the foot and ankle joints?	Diabetes	
What is the most common cause of Charcot disease in the upper extremity?	Syringomyelia, followed by Hansen disease.	
What is ochronosis and what causes it?	Black cartilage arthritis caused by alkaptonuria.	
What is often the first presentation of hemochromatosis?	Chondrocalcinosis (cirrhosis and skin bronzing occur later)	
What does rheumatoid arthritis affect first?	Synovium and soft tissue	
What are the late microscopic synovial changes seen in rheumatoid arthritis (3)?	hyperplastic cells, increased blood vessels, abundant lymphocytes	
How is cartilage damaged in rheumatoid arthritis?	Pannus ingrowth denudes articular cartilage	
What do most DMARDs target?	TNF-alpha	
What is systemic lupus erythematosus?	an autoimmune disease again nucleic acids and nuclear proteins (ANA positive) characterized by immune complex deposition	
Seronegative spondylarthritides are distinguished by what titers?	Negative RF titer and negative ANA	
What is most commonly seen in ankylosing spondylitis?	fused sacroiliac joints, frequent back involvement leading to stiffness (positive Schober flexion test)	
What is reactive arthritis?	A syndrome where the immune system is reactive to external infections, often of the mucosa, and often has swelling of a knee, along with eye and urolgic symptoms.	
What hand joint does psoriatic arthritis commonly affect?	the DIPJs	
What is enteropathic arthritis associated with?	Inflammatory bowel disease	
What causes gout?	Deposition of monosodium urate crystals in joints	
What is the classical radiographic finding in gout?	Punched out periarticular erosions	
What is used in the initial treatment of gout?	Indomethacin	
What does allopurinol do?	Lowers serum acid levels chronically	
What is colchicine used for?	Gout prophylaxis	
What do gout crystals look like? Birefringence?	Spindles, negativel biregfringent	
What do pseudogout crystals look like? Birefringence?	Rhomboids, positively birefringent	
What is pseudogout caused by?	Calcium pyrophosphate depposition (CPPD)	
What causes hemophilic arthropathy? What joint does it most commonly involve?	Factor VIII deficiency, the knee	
How is hemophilic arthropathy treated?	Correction of factor levels	
What causes acute rheumatic fever? What syndromes are seen?	Group A strep; arthritides, carditis, erythema marginatum, chorea	
What Causes Whipple disease? What syndromes are seen?	Tropheryma whipplei; arthritides, diarrhea	
What causes Lyme disease? What syndromes are seen?	Borrelia burgdorferi; erythema migrans, bell palsy, meningitis	
What is myasthenia gravis?	Autoimmune disease that destroyes acetylcholine receptors at the neuromuscular junction; leads to defect in transmission of nerve impulses to muscles	
What does botulinum A do?	BLocks presynaptic acetylcholine release at the motor end plate	
What determines muscle tension and contractile force?	Cross-sectional area	
What determines skeletal muscle velocity?	Fiber length	
What are the 3 types of muscle contraction? Define them	Isotonic: constant muscle tension throughout ROM (biceps curl with free weights)  Isometric: muscle length remains unchanged (pushing against a wall)  Isokinetic: Muscle contracts at a constant velocity over a full ROM (Cybex machine)	
Describe Type I skeletal muscle properties	Red, slow twitch, fatigue resistant, aerobic (oxidative)	
Type II skeletal muscle properties	White (IIA), anaerobic, fast twitch, fatigable	
What biochemical system is used in muscle activities lasting less than 20 seconds?	ATP-creatin phopshate system, anaerobic, produces no lactate	
What biochemical system is used in muscle activites lasting 20-120 seconds?	Lactic acid metabolism	
What changes are seen in muscle with strength training (4)?	Increases in myofibrils, fiber size, cross-sectional area, and hypertrophy of type II fibers	
Muscle tear healing is reliant on what cells?	satellite cells	
What stimulates proliferation of myofibroblasts and increases fibrosis in muscle tear healing?	TGF-beta	
What are the first cells recruited in acute muscle injury?	Neutrophils	
What causes muscle soreness?	Edema and inflammation in connective tissues	
Which nerves are good candidates for grouped fascicular repair?	Median and ulnar nerves at the distal third of the foream and the sciatic nerve.	
What properties does decorin have?	Antifibrotic	
Tendons receive blood supply through what system?	The vincular system if sheathed and through simple diffusion from the paratenon	
When are surgical tendon repairs weakest?	Days 7-10	
What do tenocytes do?	Generate ECM in tendons	
What is the first collagen type produced at sites of tendon injury?	Type III collagen	
Where is the achilles tendon hypovascular?	4-6cm proximal to the calcaneal insertion	
What are ligaments composed of?	Type 1 collagen and elastin	
How ligaments differ from tendons (4)?	less collagen, more proteglycans (and water), highly cross-linked collagen, perfused at insertion sites	
What ligament fibers insert into the periosteum?	Sharpey fibers	
Nucleus pulposus collagen/proteoglycan ratio (high/low)?	Low	
Annulus fibrosis collagen/proteglycan ratio (high or low)?	High	
What innervates the superficial fiburs of the annulus pulposus? Where does it come from?	The sinuvertebral nerve from the dorsal root ganglion	
What acts on cells during early degenerative disc disease?	IL-1beta	
What occurs in intervertebral discs during aging (4)?	loss of water, decrease/fragmentation of proteoglycans, increased keratin sulfate/chondroitin sulfate ratio, no change in quantity of collagin	
What graft should be used for lesions larger than 2cm?	osteochondral allograft	
What graft should be used for lesions smaller than 2cm?	osteochondral autograft	
Scleroderma chromosome	Anti-Scl-70	
Anti-Scl-70 causes what?	Scleroderma	
Polymyositis and dematomyositis chromosome	Anti-Jo-1	
Anti-Jo-1 causes what?	polymyositis and dermatomyositis	
Name SLE chromosome that is specific but not sensitive.	Anti-Sm (only in 1/5 of those with SLE)	
Anti-Sm is linked to what?	SLE	
Mixed connective tissue disease chromosome?	Anti-RNP	
Anti-RNP is associated with what?	Mixed connective tissue disease	
Name the SLE chromosome implicated in SLE nephritis.	Anti-ds-DNA	
Anti-ds-DNA is linked to what?	SLE	
Name the chromosome present in drug-induced lupus	antihistone	
Antihistone is present in what?	Drug induced lupus	
Chromosomes in Sjogren Syndrome?	Anti-Ro and Anti-La	
Anti-Ro and Anti-La are linked to what?	Sjogren Syndrome	
pRb is implicated in what (2)?	Retinoblastoma and osteosarcoma	
p53 is implicated in what (3)?	osteosarcoma, rhabdomyosarcoma, chondrosarcoma	
What is a plasmid?	A small extrachromosomal circular piece of DNA that replicated independently of DNA	
Southern Blots detect...	DNA	
Northern blots detect...	RNA	
Western blots detect...	protein (amino acids)	
What does RT-PCR do?	Produces DNA from RNA	
What mediates type II hypersensitivity?	Antibodies	
What type of hypersensitivity reaction is heparin-induced thrombocytopenia and myasthenia gravis?	Type II hypersensitivity	
What type of hypersensitivity occurs in response to orthopedic hardware?	Type IV	
What hypersensitivity syndrome occurs years after total hip arthroplasty?	Pseudotumor hypersensitivity syndrome	
Describe the rheumatoid factor immunoglobulin.	IgM against IgG	
What immunoglobulin is seen in mucosa-associated lymphoid tissue?	IgA	
Which immunoglobulin mediates type I hypersensitvity reactions?	IgE	
What are the first cells recruited to the site of injury?	Neutrophils	
What cells initiate the inflammatory response in osteolysis/aseptic loosening? What do they respond to?	Macrophages; particles smaller than 1uM	
What enzyme does ibuprofen inhibit?	COX	
What are anti-TNF-alpha medications associated with?	Opportunistic infections	
What does TGF-beta promote?	Fibrosis	
What is a potentially deadly complication of unmanaged draining sinus tracts in osteomyelitis or burns for more than 20 years?	malignant degeneration into squamous cell carcinoma	
Carcinoembryonic antigen (CEA) is a tumor antigen for what cancer?	colorectal carcinoma	
Carbohydrate antigen 19-9 (CA 19-9) is a tumor antigen for what cancer?	Pancreatic cancer	
Carbohydrate antigen 125 (CA-125)is a tumor antigen for what cancer?	ovarian cancer	
Cancer antigen (CA-15-3) is a tumor antigen for what cancer?	breast cancer	
alpha-fetoprotein (AFP) is a tumor antigen for what cancer?	hepatocellular carcinoma	
Name the tumor antigen associated with colorectal carcinoma.	carcinoembryonic antigen (CEA)	
Name the tumor antigen associated with pancreatic cancer.	carbohydrate antigen 19-9 (CA 19-9)	
Name the tumor antigen associated with ovarian cancer.	Carbohydrate antigen 125 (CA-125)	
Name the tumor antigen associated with breast cancer.	Cancer antigen 15-3 (CA 15-3)	
Name the tumor antigen associated with hepatocellular carcinoma.	alpha-fetoprotein (AFP)	
Name the four classic modes of mendelian inheritance.	autosomal dominant, autosomal recessive, X-linked recessive, X-linked dominant	
Name the genetic defect and inheritance pattern in achondroplasia.	FGFR3; autosomal dominant	
Name the genetic defect and inheritance pattern in Apert syndrome.	FGFR2, autosomal dominant	
Name the genetic defect and inheritance pattern in cleidocranial dysplasia.	CBFA1; autosomal dominant	
Name the genetic defect and inheritance pattern in Charcot-Marie-Tooth.	PMP22; autosomal dominant	
Name the genetic defect and inheritance pattern in pseudoachondroplasia.	COMP; autosomal dominant	
Name the genetic defect and inheritance pattern in SED congenital.	COL2A1 for type II collagen; autosomal domininant.	
Name the genetic defect and inheritance pattern in Kniest syndrome.	Type II collagen; autosomal dominant	
Name the genetic defect and inheritance pattern in MED type I.	COMP; autosomal domininant	
Name the genetic defect and inheritance pattern in MED Type 2.	Type IX collagen; autosomal dominant	
Name the genetic defect and inheritance pattern in Jansen metaphyseal chondrodysplasia.	PTHrP; autosomal dominant	
Name the genetic defect and inheritance pattern in Schmid metaphyseal chondrodysplasia.	Type X collagen, autosomal dominant	
Name the genetic defect and inheritance pattern in Ehlers-Danlos (most common).	COL; autosomal dominant	
Name the genetic defect and inheritance pattern in hereditary multiple exostoses.	EXT1/EXT2/EXT3; autosomal dominant	
Name the genetic defect and inheritance pattern in Neurofibromatosis.	NF1, NF2; autosomal dominant	
Name the genetic defect and inheritance pattern in Marfan syndrome.	FBN1; autosomal dominant	
Name the genetic defect and inheritance pattern in osteogenesis imperfecta (Types I and IV).	COL1A1/COL1A2	
FGFR3 mutations is associated with what syndrome? What is its inheritance?	Achondroplasia; Autosomal dominant	
FGFR2 mutations is associated with what syndrome? What is its inheritance?	Apert Syndrome; autosomal dominant	
