procedure_id,display_name,specialty,region,manual_review,recommended_approach_ids,conditional_approach_ids,blocked_approach_ids,important_anatomy_count,structures_at_risk_count,landmarks_count,approach_notes_count,pimp_topics_count,facts_total,has_recommended_approaches,has_high_conf_fact,distinct_source_urls,missing_fields,scores,overall_resident_utility,priority_tier,reasons,suggested_improvements,source_coverage_status
bimalleolar_ankle_orif,Bimalleolar Ankle ORIF,trauma,ankle,True,[],"[{""condition"": ""posterior malleolus mentioned or trimalleolar pattern"", ""triggers"": [""posterior malleolus"", ""posterior fragment"", ""trimalleolar"", ""posterior mal""], ""approach_ids"": [""approach_lower_ext_ankle_posteromedial""]}]","[""approach_lower_ext_ankle_anterior""]",0,0,0,1,2,1,False,False,1,[],"{""approach_accuracy"": 0, ""anatomy_usefulness"": 0, ""structures_at_risk_usefulness"": 0, ""landmark_usefulness"": 0, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",0,unsupported_gap,"[""manual_review due to catalog gap (no matching approach ID or insufficient OB support for deterministic recs)""]",[],partial
trimalleolar_ankle_orif,Trimalleolar Ankle ORIF,trauma,ankle,True,[],"[{""condition"": ""posterior access required"", ""triggers"": [""posterior malleolus"", ""posterior fragment""], ""approach_ids"": [""approach_lower_ext_ankle_posteromedial""]}]","[""approach_lower_ext_ankle_anterior""]",0,0,0,1,2,1,False,False,1,[],"{""approach_accuracy"": 0, ""anatomy_usefulness"": 0, ""structures_at_risk_usefulness"": 0, ""landmark_usefulness"": 0, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",0,unsupported_gap,"[""manual_review due to catalog gap (no matching approach ID or insufficient OB support for deterministic recs)""]",[],partial
pilon_ankle_fracture_orif,Pilon (Tibial Plafond) Fracture ORIF,trauma,ankle,True,[],[],"[""approach_lower_ext_ankle_anterior""]",0,0,0,1,2,1,False,False,1,[],"{""approach_accuracy"": 0, ""anatomy_usefulness"": 0, ""structures_at_risk_usefulness"": 0, ""landmark_usefulness"": 0, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",0,unsupported_gap,"[""manual_review due to catalog gap (no matching approach ID or insufficient OB support for deterministic recs)""]",[],partial
calcaneus_fracture_orif,Calcaneus Fracture ORIF,trauma,foot,True,[],[],[],0,0,0,1,2,1,False,False,1,[],"{""approach_accuracy"": 0, ""anatomy_usefulness"": 0, ""structures_at_risk_usefulness"": 0, ""landmark_usefulness"": 0, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",0,unsupported_gap,"[""manual_review due to catalog gap (no matching approach ID or insufficient OB support for deterministic recs)""]",[],partial
distal_radius_fracture_orif,Distal Radius Fracture ORIF,trauma,wrist,False,"[""approach_wrist_volar_distal_henry""]","[{""condition"": ""dorsal fragment or dorsal plate or dorsal comminution or dorsal approach indicated"", ""triggers"": [""dorsal fragment"", ""dorsal plate"", ""dorsal comminution"", ""dorsal approach"", ""dorsal spanning""], ""approach_ids"": [""approach_wrist_dorsal""]}]",[],4,5,4,3,4,16,True,True,4,[],"{""approach_accuracy"": 5, ""anatomy_usefulness"": 5, ""structures_at_risk_usefulness"": 5, ""landmark_usefulness"": 5, ""approach_notes_usefulness"": 5, ""pimp_topic_usefulness"": 5}",5,excellent,[],[],strong
proximal_humerus_fracture_orif,Proximal Humerus Fracture ORIF,trauma,shoulder,False,"[""approach_shoulder_deltopectoral"", ""approach_shoulder_lateral_deltoid_split""]",[],[],3,3,2,2,6,10,True,True,2,[],"{""approach_accuracy"": 5, ""anatomy_usefulness"": 5, ""structures_at_risk_usefulness"": 5, ""landmark_usefulness"": 5, ""approach_notes_usefulness"": 5, ""pimp_topic_usefulness"": 5}",5,excellent,[],"[""Already improved in v2; verify Neer segments, circumflex blood supply, deltopectoral dangers (axillary n., cephalic vein) from 1015/12061.""]",strong
radial_head_fracture_orif,Radial Head Fracture ORIF,trauma,elbow,False,"[""approach_elbow_lateral_kocher""]",[],[],0,0,0,0,2,0,True,False,0,"[""important_anatomy"", ""structures_at_risk"", ""landmarks"", ""approach_notes""]","{""approach_accuracy"": 5, ""anatomy_usefulness"": 1, ""structures_at_risk_usefulness"": 1, ""landmark_usefulness"": 1, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",2,must_fix,"[""supported with recs but very low anatomy/risk/landmark/note coverage"", ""no important_anatomy despite mapped approach"", ""no landmarks despite clear incision/exposure landmarks on OB approach pages for similar cases""]","[""Add Kocher interval details, PIN/radial head blood supply, capitellum/radial head landmarks from OB 1020 and elbow lateral approach page.""]",weak/none
olecranon_fracture_orif,Olecranon Fracture ORIF,trauma,elbow,True,[],[],[],0,0,0,1,2,1,False,False,1,[],"{""approach_accuracy"": 0, ""anatomy_usefulness"": 0, ""structures_at_risk_usefulness"": 0, ""landmark_usefulness"": 0, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",0,unsupported_gap,"[""manual_review due to catalog gap (no matching approach ID or insufficient OB support for deterministic recs)""]",[],partial
both_bone_forearm_fracture_orif,Both Bone Forearm Fracture ORIF,trauma,forearm,False,"[""approach_forearm_anterior_henry""]","[{""condition"": ""ulna only or specific ulnar access needed"", ""triggers"": [""ulna ORIF"", ""ulnar shaft"", ""subcutaneous ulna""], ""approach_ids"": []}]",[],0,0,0,1,2,1,True,True,1,"[""important_anatomy"", ""structures_at_risk"", ""landmarks""]","{""approach_accuracy"": 5, ""anatomy_usefulness"": 2, ""structures_at_risk_usefulness"": 2, ""landmark_usefulness"": 2, ""approach_notes_usefulness"": 3, ""pimp_topic_usefulness"": 2}",3,should_fix,"[""supported with recs but very low anatomy/risk/landmark/note coverage"", ""no important_anatomy despite mapped approach"", ""no landmarks despite clear incision/exposure landmarks on OB approach pages for similar cases""]","[""Add deforming forces, radial/ulnar anatomy, Henry approach steps and PIN risk from OB forearm both-bone page + approaches.""]",partial
acetabulum_fracture_orif_anterior,Acetabulum Fracture ORIF (Anterior/Ilioinguinal),trauma,pelvis,False,"[""approach_lower_ext_pelvis_acetabulum_anterior_ilioinguinal""]",[],[],0,0,0,0,2,0,True,False,0,"[""important_anatomy"", ""structures_at_risk"", ""landmarks"", ""approach_notes""]","{""approach_accuracy"": 5, ""anatomy_usefulness"": 1, ""structures_at_risk_usefulness"": 1, ""landmark_usefulness"": 1, ""approach_notes_usefulness"": 1, ""pimp_topic_usefulness"": 2}",2,must_fix,"[""supported with recs but very low anatomy/risk/landmark/note coverage"", ""no important_anatomy despite mapped approach"", ""no landmarks despite clear incision/exposure landmarks on OB approach pages for similar cases""]","[""Audit specific OB topic + dedicated /approaches/ page for this procedure; pull 2-4 high-yield items per weak dimension (anatomy, risks, landmarks, notes) with exact section citations.""]",weak/none
