question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What view must always be obtained when evaluating a patient with a shoulder dislocation?,Axillary,"Anterior or posterior shoulder dislocations may not be evident in AP view. If patient is unable to abduct his/her arm, try Velpeau view modification (see 2nd picture below).",shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,shoulder dislocation,
"For a patient with a shoulder dislocation if an axillary view is not tolerated, what alternating view may be obtained?",Velpeau,,shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,shoulder dislocation,
What radiographic finding on AP view is suggestive of a posterior shoulder dislocation?,Light bulb sign,"""Normal is on bottom left of 1st picture. See """"half moon"""" sign from overlap between humeral head and glenoid fossa of the scapula. With posterior shoulder dislocation, light bulb sign occurs because of internal rotation of the humeral head upon posterior dislocation.""",shoulderelbow,shoulder,,,,shoulderelbow,glenohumeraljoint,glenohumeraljoint,shoulder dislocation,
What view is a true AP of the glenohumeral joint?,Grashey,"""This is considered a """"true AP"""" view since the view is AP to the scapula instead of AP to the patient. The view is obtained with the patient rotated 35-45 degrees and his/her scapular body up against the imaging detector.   Grashey = Glenohumeral""",shoulderelbow,shoulder,,,,shoulderelbow,shouldergirdle,shouldergirdle,,
The acromioclavicular (AC) joint is best visualized on what view?,Zanca,zAnCa view for Acromio-Clavicular joint.,shoulderelbow,shoulder,,,,shoulderelbow,acjoint,acjoint,,
The sternoclavicular (SC) joint is best visualized on what view?,Serendipity,"SC dislocations are rare. Anterior occurs more often than posterior. Complications include pneumothorax, SVC laceration, subclavian artery/vein occlusion, or tracheal rupture. CT scan will establish the diagnosis.",shoulderelbow,hip,,,,shoulderelbow,clavicle,clavicle,,
A Hill-Sachs lesion is best visualized on what view?,Stryker Notch,Hill-Sachs occurs during anterior dislocation when the anterior rim of the glenoid causes a depression in the posterolateral head of humerus. Stryker Notch view allows for easy visualization of the cortical depression.,sports,shoulder,,,,sports,glenohumeraljoint,glenohumeraljoint,,
A Bankart Lesion is best visualized on what view?,West Point,Occurs during anterior shoulder dislocation when the humeral head tears away part of the labrum (and possibly a bony fragment with it).,sports,shoulder,,,,sports,glenohumeraljoint,glenohumeraljoint,shoulder dislocation,
What x-ray should be obtained to better evaluate intraarticular distal humerus fractures?,Traction view,Traction helps remove the bone overlap.,trauma,shoulder,,,,trauma,distalhumerus,distalhumerus,,
What radiographic finding suggests an occult fracture of the elbow?,Posterior fat pad sign,"In adults, look for radial head fracture. In children, look for supracondylar fracture.",shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
Does an anterior fat pad sign suggest an occult fracture of the elbow?,Not necessarily,This can be a normal finding if the elbow is flexed. Below is a normal x-ray with an anterior fat pad sign.,shoulderelbow,elbow,,,,shoulderelbow,elbow,,,
What radiographic finding indicates a capitellum fracture that extends to the trochlea?,Double-Arc Sign,This fracture typically occurs during FOOSH (fall on outstretched hand) when the radius imparts a shearing force on the capitellum. Double-arc sign is created from subchondral bone of capitellum and lateral part of the trochlea.,trauma,hip,,,,trauma,capitellum,capitellum,,
